Season,Team,G_Bat,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP_x,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR_Bat,W,L,SV,G_Pitch,GS,IP,K/9,BB/9,HR/9,BABIP_y,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR_Pitch,OD,Current,AVG Salary,Median
1988,ATL,2119,6013,96,555,527,95,7.2%,14.1%,0.105,0.269,0.242,0.298,0.348,0.29,,79,-11.6,-145.5,-29.6,1.5,54,106,25,478,160,1446,5.04,3.26,0.67,0.288,68.9%,,,,4.1,,3.8,,11,9967167,9967167,383353,140000
1988,BAL,1706,5979,137,550,517,69,8.4%,14.5%,0.121,0.259,0.238,0.305,0.359,0.3,,88,-7.4,-89,-40.4,7.1,54,107,26,448,161,1416,4.51,3.32,0.97,0.287,69.1%,,,,4.55,,4.37,,6.3,9995404,9995404,416475,162500
1988,BOS,1644,6334,124,813,760,65,9.8%,11.5%,0.137,0.304,0.283,0.357,0.42,0.348,,115,-6,103.9,-15.4,31.7,89,73,37,412,162,1426.1,6.85,3.11,0.9,0.294,72.0%,,,,3.98,,3.67,,18.7,15544592,15544592,597869,405000
1988,CHC,2094,6203,113,660,612,120,6.5%,14.7%,0.122,0.291,0.261,0.31,0.383,0.309,,92,2,-54.4,10.4,16.1,77,85,29,453,163,1465,5.51,3.01,0.71,0.291,71.3%,,,,3.88,,3.63,,14.4,12339833,12339833,457031,207500
1988,CHW,1705,6039,132,631,573,98,7.4%,15.0%,0.127,0.268,0.244,0.303,0.37,0.301,,87,-2.2,-92.5,-13.7,9.6,71,90,43,454,161,1440,4.71,3.33,0.86,0.28,69.4%,,,,4.13,,4.15,,7.9,5906952,5906952,218776,142000
1988,CIN,2127,6063,122,641,588,207,7.9%,15.2%,0.122,0.273,0.246,0.309,0.368,0.303,,91,15.7,-45.4,93.4,24.9,87,74,43,504,161,1455,5.78,3.12,0.75,0.26,73.9%,,,,3.35,,3.66,,13.8,8368833,8368833,298887,163750
1988,CLE,1661,6046,134,666,629,97,6.9%,14.3%,0.126,0.286,0.261,0.314,0.387,0.313,,94,-4.2,-48.6,-65.4,9.2,78,84,46,392,162,1434,5.1,2.77,0.75,0.292,68.9%,,,,4.19,,3.73,,18.9,7819500,7819500,300750,135000
1988,DET,1797,6153,143,703,650,87,9.6%,13.7%,0.128,0.271,0.25,0.324,0.378,0.318,,100,-3.4,-1.7,13.7,22.5,88,74,36,382,162,1445.2,5.54,3.09,0.93,0.267,73.3%,,,,3.72,,3.98,,14.4,15597071,15597071,599887,400000
1988,HOU,2150,6127,96,617,575,198,7.7%,13.7%,0.107,0.27,0.244,0.306,0.351,0.295,,91,8.1,-50.6,2,15.4,82,80,40,446,162,1474.2,6.4,2.92,0.75,0.27,72.7%,,,,3.41,,3.48,,11.2,13454667,13454667,538187,500000
1988,KCR,1744,6086,121,704,671,137,8.0%,15.5%,0.131,0.291,0.259,0.321,0.391,0.319,,99,2.3,-7.5,-34,16.9,84,77,32,414,161,1428.1,5.58,2.93,0.64,0.288,71.5%,,,,3.65,,3.5,,19.3,11558873,11558873,481620,200000
1988,LAA,1801,6215,124,714,659,86,7.5%,13.2%,0.124,0.284,0.261,0.321,0.385,0.317,,99,-7.3,-13.5,-46.9,15.4,75,87,33,424,162,1456,5.05,3.51,0.83,0.289,69.8%,,,,4.31,,4.11,,13.1,10932388,10932388,420476,231000
1988,LAD,2228,6045,99,628,587,131,7.2%,15.7%,0.104,0.281,0.248,0.305,0.352,0.294,,92,4.3,-50,50.2,20,94,67,49,457,162,1463.1,6.33,2.91,0.52,0.272,74.4%,,,,2.96,,3.12,,19.7,15462515,15462515,572686,400000
1988,MIL,1677,6066,113,682,632,159,7.2%,15.0%,0.118,0.288,0.257,0.314,0.375,0.308,,92,6.4,-52.4,4.9,15.9,87,75,51,414,162,1449.2,5.17,2.71,0.78,0.267,73.0%,,,,3.45,,3.69,,17.9,10214000,10214000,378296,175000
1988,MIN,1812,6181,151,759,710,107,8.5%,13.5%,0.147,0.296,0.274,0.34,0.421,0.34,,108,-7.5,50.8,-5.6,26.4,91,71,52,427,162,1431.2,5.64,2.85,0.92,0.29,73.2%,,,,3.94,,3.88,,15.7,12154800,12154800,434100,233750
1988,MON,2224,6170,107,628,575,189,7.4%,17.1%,0.121,0.29,0.251,0.309,0.373,0.304,,93,-0.5,-46.5,77.6,23.5,81,81,43,470,163,1482.2,5.6,2.89,0.74,0.26,74.5%,,,,3.1,,3.63,,11.7,8852333,8852333,340474,180500
1988,NYM,1963,6105,152,703,659,140,8.9%,13.8%,0.14,0.276,0.256,0.325,0.396,0.321,,111,4,78.2,7.6,29.9,100,60,46,401,160,1439,6.88,2.53,0.49,0.276,73.3%,,,,2.91,,2.86,,25.6,15502714,15502714,596258,443750
1988,NYY,1740,6297,148,772,713,146,9.3%,14.8%,0.132,0.29,0.263,0.333,0.395,0.327,,104,9.4,39.4,-54.5,20.7,85,76,43,465,161,1456,5.32,3.01,0.97,0.286,71.1%,,,,4.27,,4.09,,10.9,18909152,18909152,700339,480000
1988,OAK,1870,6356,156,800,752,129,9.1%,14.6%,0.136,0.288,0.263,0.336,0.399,0.332,,113,0,92.2,-6.3,31.4,104,58,64,452,162,1489.2,5.94,3.34,0.7,0.275,74.5%,,,,3.44,,3.63,,17.6,11380183,11380183,406435,377500
1988,PHI,2127,6055,106,597,567,112,8.1%,16.2%,0.116,0.272,0.239,0.306,0.355,0.298,,88,-0.6,-83.1,-22.3,9.2,65,96,36,498,162,1433,5.39,3.94,0.74,0.287,70.8%,,,,4.16,,4.03,,5,12935500,12935500,497519,280000
1988,PIT,2189,6091,110,651,619,119,9.1%,15.5%,0.123,0.278,0.247,0.317,0.369,0.308,,98,-3.6,-15.6,67.6,25.6,85,75,46,473,160,1440.2,4.94,2.93,0.67,0.268,72.6%,,,,3.47,,3.69,,11.7,7627500,7627500,305100,245000
1988,SDP,2011,6032,94,594,566,123,8.2%,14.8%,0.104,0.278,0.247,0.31,0.351,0.297,,91,1,-56,69.4,21.2,83,78,39,399,161,1449,5.5,2.73,0.7,0.27,73.9%,,,,3.28,,3.5,,16,9878168,9878168,411590,260000
1988,SEA,1658,6018,148,664,617,95,7.7%,13.1%,0.141,0.275,0.257,0.317,0.398,0.321,,97,-8.7,-30.1,-33.9,14.2,68,93,28,453,161,1428.1,6.18,3.52,0.91,0.284,69.5%,,,,4.19,,3.95,,17.1,6545950,6545950,242443,130000
1988,SFG,2188,6178,113,670,629,121,8.9%,16.6%,0.12,0.284,0.248,0.318,0.368,0.308,,100,-10.2,-7.9,53.4,25.3,83,79,42,452,162,1462.1,5.39,2.6,0.61,0.265,70.2%,,,,3.4,,3.38,,16.3,12188000,12188000,406267,360000
1988,STL,2143,6177,71,578,535,234,7.8%,13.4%,0.088,0.279,0.249,0.309,0.337,0.291,,84,17.7,-88.4,30.3,14.2,76,86,42,495,162,1470.2,5.39,2.97,0.56,0.277,71.3%,,,,3.47,,3.4,,15.4,14000000,14000000,518519,240000
1988,TEX,1780,6157,112,637,589,130,8.8%,16.6%,0.117,0.288,0.252,0.32,0.368,0.31,,92,-0.5,-54.4,8.6,16.3,70,91,31,412,161,1438.2,5.71,4.09,0.81,0.267,69.9%,,,,4.07,,4.15,,10.9,6008000,6008000,214571,160000
1988,TOR,1745,6194,158,763,706,107,8.4%,15.1%,0.151,0.295,0.268,0.332,0.419,0.335,,109,2.9,67.5,2.8,29,87,75,47,456,162,1449,5.61,3.28,0.89,0.278,73.2%,,,,3.8,,4.02,,10.8,11673725,11673725,466949,230000
1989,ATL,2165,6079,128,584,544,83,8.0%,16.4%,0.115,0.263,0.234,0.298,0.35,0.293,,78,-6.6,-150.7,46.6,8.8,63,97,33,501,161,1447.2,6.01,2.91,0.71,0.278,69.3%,,,,3.71,,3.45,,19,9551334,9551334,367359,163000
1989,BAL,1725,6173,129,708,659,118,9.6%,15.5%,0.127,0.282,0.252,0.326,0.379,0.319,,101,-0.3,6.9,-3.6,21.9,87,75,44,474,162,1448.1,4.2,3.02,0.83,0.284,72.9%,,,,4,,4.09,,9.5,8176666,8176666,272556,94500
1989,BOS,1702,6455,108,774,716,56,10.0%,11.7%,0.125,0.301,0.277,0.351,0.403,0.34,,109,-5.4,63.5,-19.8,27.4,83,79,42,459,162,1460.1,6.5,3.38,0.81,0.294,70.1%,,,,4.01,,3.68,,16.2,18553385,18553385,639772,400000
1989,CHC,2172,6141,124,702,653,136,7.7%,15.0%,0.126,0.291,0.261,0.319,0.387,0.316,,95,2.7,-30.3,29.9,20.4,93,69,55,500,162,1460.1,5.66,3.28,0.65,0.276,73.3%,,,,3.43,,3.59,,16.1,10165500,10165500,376500,130000
1989,CHW,1685,6132,94,693,661,97,7.6%,14.2%,0.112,0.305,0.271,0.328,0.383,0.32,,100,-3.3,-6.4,-49.5,15.7,69,92,46,482,161,1422,4.92,3.41,0.91,0.284,70.3%,,,,4.25,,4.2,,4.1,7595561,7595561,292137,156250
1989,CIN,2248,6158,128,632,588,128,8.0%,16.7%,0.124,0.28,0.247,0.309,0.37,0.306,,90,-4.2,-71.9,-15.8,11.3,75,87,37,501,162,1464.1,6.03,3.44,0.77,0.28,71.7%,,,,3.74,,3.75,,15.9,11087000,11087000,410630,292500
1989,CLE,1720,6111,127,604,567,74,8.2%,15.3%,0.12,0.273,0.245,0.31,0.365,0.305,,89,-7.4,-85.8,-22.5,9.7,73,89,38,449,162,1453,5.23,2.8,0.66,0.28,71.2%,,,,3.65,,3.54,,18.8,8928500,8928500,357140,235000
1989,DET,1782,6133,116,617,564,103,9.5%,14.7%,0.109,0.269,0.242,0.318,0.351,0.307,,92,-1.4,-59.4,-48,10.1,59,103,26,414,162,1427.1,5.24,4.11,0.95,0.293,69.7%,,,,4.54,,4.43,,4.9,15099596,15099596,580754,427500
1989,HOU,2210,6200,97,647,598,144,8.5%,13.9%,0.106,0.265,0.239,0.306,0.345,0.295,,90,2.4,-62.7,56.3,19.7,86,76,38,508,162,1479.1,5.87,3.35,0.64,0.274,71.1%,,,,3.66,,3.55,,10.8,16011000,16011000,552103,470000
1989,KCR,1876,6151,101,690,653,154,9.0%,14.6%,0.112,0.293,0.261,0.329,0.373,0.318,,98,8.3,-3.7,-56.4,15.4,92,70,38,426,162,1451.2,6.06,2.82,0.53,0.293,71.0%,,,,3.55,,3.18,,23.6,15427162,15427162,571376,400000
1989,LAA,1599,6102,145,669,624,89,7.0%,16.6%,0.129,0.288,0.256,0.311,0.386,0.313,,97,-0.2,-18.9,30,22.2,91,71,38,413,162,1454.1,5.55,2.88,0.7,0.278,75.6%,,,,3.28,,3.56,,20.1,14713833,14713833,525494,386250
1989,LAD,2109,6124,89,554,513,81,8.3%,14.5%,0.099,0.27,0.24,0.306,0.339,0.292,,87,-7.1,-93.8,36.1,14,77,83,36,445,160,1463.1,6.47,3.1,0.58,0.272,76.0%,,,,2.95,,3.26,,19.6,21584161,21584161,674505,435000
1989,MIL,1667,6085,126,707,660,165,7.5%,13.0%,0.124,0.28,0.259,0.318,0.382,0.316,,97,6.5,-17.7,-56.4,13.7,81,81,45,453,162,1432.1,5.1,2.87,0.81,0.285,71.8%,,,,3.8,,3.82,,12.7,10373000,10373000,357690,165000
