,Unnamed: 0,Season,Team,G_Bat,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP_x,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR_Bat,W,L,SV,G_Pitch,GS,IP,K/9,BB/9,HR/9,BABIP_y,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR_Pitch,OD,Current,AVG Salary,Median,Success_Score
0,0,1988,ATL,2119,6013,96,555,527,95,7.2%,14.1%,0.105,0.2689999999999999,0.242,0.298,0.348,0.29,,79,-11.6,-145.5,-29.6,1.5,54,106,25,478,160,1446.0,5.04,3.26,0.67,0.288,68.9%,,,,4.1,,3.8,,11.0,9967167.0,9967167.0,383353,140000,33.75
1,1,1988,BAL,1706,5979,137,550,517,69,8.4%,14.5%,0.121,0.259,0.238,0.305,0.359,0.3,,88,-7.4,-89.0,-40.4,7.1,54,107,26,448,161,1416.0,4.51,3.32,0.97,0.287,69.1%,,,,4.55,,4.37,,6.3,9995404.0,9995404.0,416475,162500,33.54
2,2,1988,BOS,1644,6334,124,813,760,65,9.8%,11.5%,0.1369999999999999,0.304,0.283,0.357,0.42,0.348,,115,-6.0,103.9,-15.4,31.7,89,73,37,412,162,1426.1,6.85,3.11,0.9,0.294,72.0%,,,,3.98,,3.67,,18.7,15544592.0,15544592.0,597869,405000,54.94
3,3,1988,CHC,2094,6203,113,660,612,120,6.5%,14.7%,0.122,0.291,0.261,0.31,0.3829999999999999,0.309,,92,2.0,-54.4,10.4,16.1,77,85,29,453,163,1465.0,5.51,3.01,0.71,0.291,71.3%,,,,3.88,,3.63,,14.4,12339833.0,12339833.0,457031,207500,47.53
4,4,1988,CHW,1705,6039,132,631,573,98,7.4%,15.0%,0.127,0.268,0.244,0.303,0.37,0.301,,87,-2.2,-92.5,-13.7,9.6,71,90,43,454,161,1440.0,4.71,3.33,0.86,0.28,69.4%,,,,4.13,,4.15,,7.9,5906952.0,5906952.0,218776,142000,44.1
5,5,1988,CIN,2127,6063,122,641,588,207,7.9%,15.2%,0.122,0.273,0.246,0.309,0.368,0.303,,91,15.7,-45.4,93.4,24.9,87,74,43,504,161,1455.0,5.78,3.12,0.75,0.26,73.9%,,,,3.35,,3.66,,13.8,8368833.0,8368833.0,298887,163750,54.04
6,6,1988,CLE,1661,6046,134,666,629,97,6.9%,14.3%,0.126,0.286,0.261,0.314,0.387,0.313,,94,-4.2,-48.6,-65.4,9.2,78,84,46,392,162,1434.0,5.1,2.77,0.75,0.292,68.9%,,,,4.19,,3.73,,18.9,7819500.0,7819500.0,300750,135000,48.15
7,7,1988,DET,1797,6153,143,703,650,87,9.6%,13.7%,0.128,0.271,0.25,0.324,0.3779999999999999,0.318,,100,-3.4,-1.7,13.7,22.5,88,74,36,382,162,1445.2,5.54,3.09,0.93,0.267,73.3%,,,,3.72,,3.98,,14.4,15597071.0,15597071.0,599887,400000,54.32
8,8,1988,HOU,2150,6127,96,617,575,198,7.7%,13.7%,0.107,0.27,0.244,0.306,0.351,0.295,,91,8.1,-50.6,2.0,15.4,82,80,40,446,162,1474.2,6.4,2.92,0.75,0.27,72.7%,,,,3.41,,3.48,,11.2,13454667.0,13454667.0,538187,500000,50.62
9,9,1988,KCR,1744,6086,121,704,671,137,8.0%,15.5%,0.131,0.291,0.259,0.321,0.391,0.319,,99,2.3,-7.5,-34.0,16.9,84,77,32,414,161,1428.1,5.58,2.93,0.64,0.288,71.5%,,,,3.65,,3.5,,19.3,11558873.0,11558873.0,481620,200000,52.17
10,10,1988,LAA,1801,6215,124,714,659,86,7.5%,13.2%,0.124,0.284,0.261,0.321,0.385,0.317,,99,-7.3,-13.5,-46.9,15.4,75,87,33,424,162,1456.0,5.05,3.51,0.83,0.289,69.8%,,,,4.31,,4.11,,13.1,10932388.0,10932388.0,420476,231000,46.3
