Season,Team,W,L,OD_Salary,Current,AVG Salary,Median,Success_Score,LeagueID,DivisionID,Rank,Division_Win,Wildcard_Win,League_Win,WorldSeries_Win,Name
1988,ATL,54,106,9967167.0,9967167.0,383353,140000,33.75,NL,W,6,N,,N,N,Atlanta Braves
1988,BAL,54,107,9995404.0,9995404.0,416475,162500,33.54,AL,E,7,N,,N,N,Baltimore Orioles
1988,BOS,89,73,15544592.0,15544592.0,597869,405000,54.94,AL,E,1,Y,,N,N,Boston Red Sox
1988,CHC,77,85,12339833.0,12339833.0,457031,207500,47.53,NL,E,4,N,,N,N,Chicago Cubs
1988,CHW,71,90,5906952.0,5906952.0,218776,142000,44.1,AL,W,5,N,,N,N,Chicago White Sox
1988,CIN,87,74,8368833.0,8368833.0,298887,163750,54.04,NL,W,2,N,,N,N,Cincinnati Reds
1988,CLE,78,84,7819500.0,7819500.0,300750,135000,48.15,AL,E,6,N,,N,N,Cleveland Indians
1988,DET,88,74,15597071.0,15597071.0,599887,400000,54.32,AL,E,2,N,,N,N,Detroit Tigers
1988,HOU,82,80,13454667.0,13454667.0,538187,500000,50.62,NL,W,5,N,,N,N,Houston Astros
1988,KCR,84,77,11558873.0,11558873.0,481620,200000,52.17,AL,W,3,N,,N,N,Kansas City Royals
1988,LAA,75,87,10932388.0,10932388.0,420476,231000,46.3,AL,W,4,N,,N,N,California Angels
1988,LAD,94,67,15462515.0,15462515.0,572686,400000,58.39,NL,W,1,Y,,Y,Y,Los Angeles Dodgers
1988,MIL,87,75,10214000.0,10214000.0,378296,175000,53.7,AL,E,3,N,,N,N,Milwaukee Brewers
1988,MIN,91,71,12154800.0,12154800.0,434100,233750,56.17,AL,W,2,N,,N,N,Minnesota Twins
1988,NYM,100,60,15502714.0,15502714.0,596258,443750,62.5,NL,E,1,Y,,N,N,New York Mets
1988,NYY,85,76,18909152.0,18909152.0,700339,480000,52.8,AL,E,5,N,,N,N,New York Yankees
1988,OAK,104,58,11380183.0,11380183.0,406435,377500,64.2,AL,W,1,Y,,Y,N,Oakland Athletics
1988,PHI,65,96,12935500.0,12935500.0,497519,280000,40.37,NL,E,6,N,,N,N,Philadelphia Phillies
1988,PIT,85,75,7627500.0,7627500.0,305100,245000,53.12,NL,E,2,N,,N,N,Pittsburgh Pirates
1988,SDP,83,78,9878168.0,9878168.0,411590,260000,51.55,NL,W,3,N,,N,N,San Diego Padres
1988,SEA,68,93,6545950.0,6545950.0,242443,130000,42.24,AL,W,7,N,,N,N,Seattle Mariners
1988,SFG,83,79,12188000.0,12188000.0,406267,360000,51.23,NL,W,4,N,,N,N,San Francisco Giants
1988,STL,76,86,14000000.0,14000000.0,518519,240000,46.91,NL,E,5,N,,N,N,St. Louis Cardinals
1988,TEX,70,91,6008000.0,6008000.0,214571,160000,43.48,AL,W,6,N,,N,N,Texas Rangers
1988,TOR,87,75,11673725.0,11673725.0,466949,230000,53.7,AL,E,3,N,,N,N,Toronto Blue Jays
1988,WSN,81,81,8852333.0,8852333.0,340474,180500,50.0,NL,E,3,N,,N,N,Montreal Expos
1989,ATL,63,97,9551334.0,9551334.0,367359,163000,39.38,NL,W,6,N,,N,N,Atlanta Braves
1989,BAL,87,75,8176666.0,8176666.0,272556,94500,53.7,AL,E,2,N,,N,N,Baltimore Orioles
1989,BOS,83,79,18553385.0,18553385.0,639772,400000,51.23,AL,E,3,N,,N,N,Boston Red Sox
1989,CHC,93,69,10165500.0,10165500.0,376500,130000,57.41,NL,E,1,Y,,N,N,Chicago Cubs
1989,CHW,69,92,7595561.0,7595561.0,292137,156250,42.86,AL,W,7,N,,N,N,Chicago White Sox
1989,CIN,75,87,11087000.0,11087000.0,410630,292500,46.3,NL,W,5,N,,N,N,Cincinnati Reds
1989,CLE,73,89,8928500.0,8928500.0,357140,235000,45.06,AL,E,6,N,,N,N,Cleveland Indians
1989,DET,59,103,15099596.0,15099596.0,580754,427500,36.42,AL,E,7,N,,N,N,Detroit Tigers
1989,HOU,86,76,16011000.0,16011000.0,552103,470000,53.09,NL,W,3,N,,N,N,Houston Astros
1989,KCR,92,70,15427162.0,15427162.0,571376,400000,56.79,AL,W,2,N,,N,N,Kansas City Royals
1989,LAA,91,71,14713833.0,14713833.0,525494,386250,56.17,AL,W,3,N,,N,N,California Angels
1989,LAD,77,83,21584161.0,21584161.0,674505,435000,48.12,NL,W,4,N,,N,N,Los Angeles Dodgers
1989,MIL,81,81,10373000.0,10373000.0,357690,165000,50.0,AL,E,4,N,,N,N,Milwaukee Brewers
1989,MIN,80,82,15540500.0,15540500.0,597712,316250,49.38,AL,W,5,N,,N,N,Minnesota Twins
1989,NYM,87,75,20013212.0,20013212.0,769739,500000,53.7,NL,E,2,N,,N,N,New York Mets
1989,NYY,74,87,20562985.0,20562985.0,663322,500000,45.96,AL,E,5,N,,N,N,New York Yankees
1989,OAK,99,63,14602999.0,14602999.0,503552,375000,61.11,AL,W,1,Y,,Y,Y,Oakland Athletics
1989,PHI,67,95,9640000.0,9640000.0,401667,227500,41.36,NL,E,6,N,,N,N,Philadelphia Phillies
1989,PIT,74,88,11993500.0,11993500.0,461288,380000,45.68,NL,E,5,N,,N,N,Pittsburgh Pirates
1989,SDP,89,73,13094000.0,13094000.0,523760,370000,54.94,NL,W,2,N,,N,N,San Diego Padres
1989,SEA,73,89,9547500.0,9547500.0,329224,155000,45.06,AL,W,6,N,,N,N,Seattle Mariners
1989,SFG,92,70,14094000.0,14094000.0,563760,535000,56.79,NL,W,1,Y,,Y,N,San Francisco Giants
1989,STL,86,76,15555333.0,15555333.0,555548,453750,53.09,NL,E,3,N,,N,N,St. Louis Cardinals
1989,TEX,83,79,10689500.0,10689500.0,395907,275000,51.23,AL,W,4,N,,N,N,Texas Rangers
1989,TOR,89,73,16009666.0,16009666.0,615756,433500,54.94,AL,E,1,Y,,N,N,Toronto Blue Jays
1989,WSN,81,81,12305389.0,12305389.0,455755,320000,50.0,NL,E,4,N,,N,N,Montreal Expos
1990,ATL,65,97,13328334.0,13328334.0,370232,125000,40.12,NL,W,6,N,,N,N,Atlanta Braves
1990,BAL,76,85,10037084.0,10037084.0,257361,155000,47.2,AL,E,5,N,,N,N,Baltimore Orioles
1990,BOS,88,74,20983333.0,20983333.0,582870,282500,54.32,AL,E,1,Y,,N,N,Boston Red Sox
1990,CHC,77,85,14496000.0,14496000.0,426353,190000,47.53,NL,E,4,N,,N,N,Chicago Cubs
1990,CHW,94,68,9496238.0,9496238.0,287765,100000,58.02,AL,W,2,N,,N,N,Chicago White Sox
1990,CIN,91,71,14769500.0,14769500.0,399176,175000,56.17,NL,W,1,Y,,Y,Y,Cincinnati Reds
1990,CLE,77,85,15152000.0,15152000.0,388513,170000,47.53,AL,E,4,N,,N,N,Cleveland Indians
1990,DET,79,83,18092238.0,18092238.0,476112,155000,48.77,AL,E,3,N,,N,N,Detroit Tigers
1990,HOU,75,87,18830000.0,18830000.0,523056,240000,46.3,NL,W,4,N,,N,N,Houston Astros
1990,KCR,75,86,23873745.0,23873745.0,596844,300000,46.58,AL,W,6,N,,N,N,Kansas City Royals
1990,LAA,80,82,21870000.0,21870000.0,591081,410000,49.38,AL,W,4,N,,N,N,California Angels
1990,LAD,86,76,21618704.0,21618704.0,568913,321250,53.09,NL,W,2,N,,N,N,Los Angeles Dodgers
1990,MIL,74,88,20019167.0,20019167.0,500479,162500,45.68,AL,E,6,N,,N,N,Milwaukee Brewers
1990,MIN,74,88,15106000.0,15106000.0,368439,115000,45.68,AL,W,7,N,,N,N,Minnesota Twins
1990,NYM,91,71,22418834.0,22418834.0,574842,155000,56.17,NL,E,2,N,,N,N,New York Mets
1990,NYY,67,95,20991318.0,20991318.0,617392,437500,41.36,AL,E,7,N,,N,N,New York Yankees
1990,OAK,103,59,19987501.0,19987501.0,555208,272500,63.58,AL,W,1,Y,,Y,N,Oakland Athletics
1990,PHI,77,85,13953667.0,13953667.0,377126,150000,47.53,NL,E,4,N,,N,N,Philadelphia Phillies
1990,PIT,95,67,15656000.0,15656000.0,423135,350000,58.64,NL,E,1,Y,,N,N,Pittsburgh Pirates
1990,SDP,75,87,18588334.0,18588334.0,502387,195000,46.3,NL,W,4,N,,N,N,San Diego Padres
1990,SEA,77,85,12841667.0,12841667.0,347072,160000,47.53,AL,W,5,N,,N,N,Seattle Mariners
1990,SFG,85,77,20942333.0,20942333.0,523558,177500,52.47,NL,W,3,N,,N,N,San Francisco Giants
1990,STL,70,92,20923334.0,20923334.0,536496,125000,43.21,NL,E,6,N,,N,N,St. Louis Cardinals
1990,TEX,83,79,15104372.0,15104372.0,387292,140000,51.23,AL,W,3,N,,N,N,Texas Rangers
1990,TOR,86,76,18486834.0,18486834.0,474021,180000,53.09,AL,E,2,N,,N,N,Toronto Blue Jays
1990,WSN,85,77,16656388.0,16656388.0,489894,296250,52.47,NL,E,3,N,,N,N,Montreal Expos
