,Season,League,Series_Played,Final_Score,Winning_Team,Winning_Team_Abbr,Losing_Team,Losing_Team_Abbr
0,2018.0,NL,Wildcard,1-0,Colorado Rockies,COL,Chicago Cubs,CHC
1,2018.0,AL,Wildcard,1-0,New York Yankees,NYY,Oakland Athletics,OAK
2,2018.0,NL,Division2,3-1,Los Angeles Dodgers,LAD,Atlanta Braves,ATL
3,2018.0,NL,Division1,3-0,Milwaukee Brewers,MIL,Colorado Rockies,COL
4,2018.0,AL,Division2,3-0,Houston Astros,HOU,Cleveland Indians,CLE
5,2018.0,AL,Division1,3-1,Boston Red Sox,BOS,New York Yankees,NYY
6,2018.0,NL,Championship,4-3,Los Angeles Dodgers,LAD,Milwaukee Brewers,MIL
7,2018.0,AL,Championship,4-1,Boston Red Sox,BOS,Houston Astros,HOU
8,2018.0,None,WorldSeries,4-1,Boston Red Sox,BOS,Los Angeles Dodgers,LAD
9,2017.0,AL,Division2,3-1,Houston Astros,HOU,Boston Red Sox,BOS
10,2017.0,NL,Wildcard,1-0,Arizona Diamondbacks,ARI,Colorado Rockies,COL
11,2017.0,NL,Division2,3-2,Chicago Cubs,CHC,Washington Nationals,WSN
12,2017.0,NL,Division1,3-0,Los Angeles Dodgers,LAD,Arizona Diamondbacks,ARI
13,2017.0,AL,Wildcard,1-0,New York Yankees,NYY,Minnesota Twins,MIN
14,2017.0,AL,Division1,3-2,New York Yankees,NYY,Cleveland Indians,CLE
15,2017.0,NL,Championship,4-1,Los Angeles Dodgers,LAD,Chicago Cubs,CHC
16,2017.0,AL,Championship,4-3,Houston Astros,HOU,New York Yankees,NYY
17,2017.0,None,WorldSeries,4-3,Houston Astros,HOU,Los Angeles Dodgers,LAD
18,2016.0,NL,Division1,3-1,Chicago Cubs,CHC,San Francisco Giants,SFG
19,2016.0,NL,Wildcard,1-0,San Francisco Giants,SFG,New York Mets,NYM
20,2016.0,AL,Wildcard,1-0,Toronto Blue Jays,TOR,Baltimore Orioles,BAL
21,2016.0,NL,Division2,3-2,Los Angeles Dodgers,LAD,Washington Nationals,WSN
